Sample_ID,SOM_Row,SOM_Col,SOM_Cluster
MB-0002,9,8,9_8
MB-0005,18,19,18_19
MB-0006,19,19,19_19
MB-0008,9,5,9_5
MB-0010,6,0,6_0
MB-0014,19,19,19_19
MB-0020,18,14,18_14
MB-0022,19,19,19_19
MB-0028,8,3,8_3
MB-0035,10,12,10_12
MB-0036,2,12,2_12
MB-0039,19,19,19_19
MB-0045,7,9,7_9
MB-0046,12,5,12_5
MB-0048,19,19,19_19
MB-0050,7,10,7_10
MB-0053,19,19,19_19
MB-0054,19,19,19_19
MB-0056,19,19,19_19
MB-0059,0,13,0_13
MB-0060,19,3,19_3
MB-0062,19,2,19_2
MB-0064,19,19,19_19
MB-0066,14,15,14_15
MB-0068,19,19,19_19
MB-0071,19,19,19_19
MB-0079,9,0,9_0
MB-0081,19,19,19_19
MB-0083,19,19,19_19
MB-0093,19,19,19_19
MB-0095,5,18,5_18
MB-0097,1,15,1_15
MB-0099,19,19,19_19
MB-0100,17,8,17_8
MB-0101,9,13,9_13
MB-0102,17,11,17_11
MB-0106,0,19,0_19
MB-0107,11,6,11_6
MB-0108,19,19,19_19
MB-0109,7,4,7_4
MB-0110,19,16,19_16
MB-0111,9,18,9_18
MB-0112,9,11,9_11
MB-0113,0,15,0_15
MB-0114,0,19,0_19
MB-0115,19,6,19_6
MB-0116,19,17,19_17
MB-0117,7,12,7_12
MB-0119,0,12,0_12
MB-0120,11,2,11_2
MB-0121,2,17,2_17
MB-0122,3,19,3_19
MB-0123,5,4,5_4
MB-0124,14,18,14_18
MB-0125,12,17,12_17
MB-0126,1,14,1_14
MB-0128,6,19,6_19
MB-0129,15,6,15_6
MB-0130,0,14,0_14
MB-0131,3,19,3_19
MB-0133,3,19,3_19
MB-0134,2,14,2_14
MB-0135,3,7,3_7
MB-0136,14,15,14_15
MB-0138,9,13,9_13
MB-0139,17,16,17_16
MB-0140,4,10,4_10
MB-0142,1,6,1_6
MB-0143,5,0,5_0
MB-0144,7,19,7_19
MB-0145,8,11,8_11
MB-0146,2,5,2_5
MB-0147,6,14,6_14
